"Iteration: Iteration","Lift in Y Monitor: Force (N)"
1,193.8982760184139
2,180.03108760877728
3,139.84492321149381
4,106.7226880516392
5,93.833428810892812
6,88.813249153596132
7,83.700950116329153
8,80.244715048897206
9,78.380326726842569
10,79.891490502123901
11,83.06080390753803
12,87.244115644679553
13,91.206917255695544
14,94.794593434326785
15,96.216092766410839
16,97.739620884198402
17,99.631724977656276
18,103.41154472398506
19,105.13161523783113
20,108.13240515082097
21,110.48786428486434
22,112.36219414891997
23,114.01574078120295
24,115.76099997808529
25,117.8540356733362
26,121.03647948877681
27,122.71867704508445
28,125.34394962969081
29,127.38174174319842
30,129.25495333699499
31,131.48107712439852
32,132.90629756505825
33,135.07308707684211
34,136.58060427796175
35,138.76890756215749
36,140.21264725853882
37,142.28724869180414
38,143.62539114612659
39,145.51833903446189
40,146.73551944295949
41,148.4595384272007
42,149.59160738733578
43,150.92809079633258
44,152.24650780194273
45,153.48890997549563
46,154.64726287678883
47,155.71369012347751
48,156.69851232599638
49,157.62544312027558
50,158.48720393910958
51,159.28005537069129
52,160.0013971478181
53,160.65052797227085
54,161.23207372662569
55,161.75332298755291
56,162.2047163748874
57,162.58868015700929
58,162.9204069210584
59,163.14713492073011
60,163.48577802372864
61,163.65306352895254
62,163.89337424051291
63,164.0080117476999
64,164.1550869913259
65,164.30069971369926
66,164.39296955567158
67,164.63583160892978
68,164.68320945312007
69,164.76493303407588
70,164.99821624762234
71,165.05686305218777
72,165.25878354364292
73,165.3309065016241
74,165.5750999263928
75,165.70645196348661
76,165.92924942796472
77,166.12244379954808
78,166.31000175546993
79,166.51341814192475
80,166.73510033059716
81,166.97185169195757
82,167.22022554495197
83,167.47755465495558
84,167.74125370014426
85,168.00909205855802
86,168.2815424221846
87,168.5549160028757
88,168.83035011837239
89,169.10525652025544
90,169.3775735562624
91,169.64564483999331
92,169.90971321478816
93,170.16784724695324
94,170.41966194000355
95,170.66327293725132
96,170.89929876313289
97,171.12797859927721
98,171.34854285738231
99,171.56163661993179
100,171.76517519487422
101,171.96016311946187
102,172.1475660275178
103,172.32810225715789
104,172.50230528360152
105,172.67133778873625
106,172.83560593105381
107,172.99298745601894
108,173.14569337003951
109,173.29476092267427
110,173.44092831381639
111,173.5827164403195
112,173.72403618656455
113,173.86410032975459
114,174.00220147395518
115,174.1383611180195
116,174.27326505042652
117,174.40698661883118
118,174.53975823212608
119,174.67134771061509
120,174.80241998751731
121,174.93276803386814
122,175.06253982252065
123,175.19179168560044
124,175.32055856163447
125,175.44862002412211
126,175.5758347439357
127,175.70238512245217
128,175.82781433208694
129,175.95207972400738
130,176.07498523101182
131,176.19627207930046
132,176.31621172833744
133,176.43497290367779
134,176.55170367738148
135,176.66789565381166
136,176.77925396365552
137,176.88968084045439
138,176.9987033137655
139,177.10552584552562
140,177.20988784970768
141,177.31182847293306
142,177.41131393651568
143,177.50818476250663
144,177.60290109737713
145,177.69452468725953
146,177.78347487924464
147,177.87000780942157
148,177.95404757937422
149,178.03586370639238
150,178.11513154203467
151,178.19197295350841
152,178.2666777811524
153,178.33924684764142
154,178.40986218165924
155,178.47856935788775
156,178.54556224645211
157,178.61092072596554
158,178.67440758152597
159,178.73680452537138
160,178.79803100203583
161,178.85802838951741
162,178.91687706427572
163,178.97477039403159
164,179.03172880842132
165,179.08788702627828
166,179.14336247649896
167,179.19825386870787
168,179.252636582534
169,179.30657603478241
170,179.36013027183924
171,179.41322153044732
172,179.46600562569768
173,179.51856950352601
174,179.57092024416954
175,179.62306087003242
176,179.67497575613802
177,179.72665853605193
178,179.78586562587867
179,179.82830488546429
180,179.88448796735818
181,179.9344900202851
182,179.98359146839417
183,180.03274040532838
184,180.08234874359988
185,180.13201401352464
186,180.18145097515537
187,180.23052704150746
188,180.27919075145985
189,180.32742527893419
190,180.37522849395185
191,180.42259011434771
192,180.4694847916505
193,180.51588849455536
194,180.5617913597132
195,180.6071900415775
196,180.65206406196154
197,180.6964027971608
198,180.74018970287008
199,180.78342882439173
200,180.82610808756417
201,180.86821272489203
202,180.90974065942501
203,180.95069294796875
204,180.99107228271009
205,181.03087930836389
206,181.07011765782323
207,181.1087930128883
208,181.14690927820783
209,181.18446247065816
210,181.22147217111822
211,181.25794210020803
212,181.2938683231443
213,181.32927240925551
214,181.36416822700141
215,181.39855437125675
216,181.43243363384403
217,181.46581323841272
218,181.49869804932058
219,181.53110665300824
220,181.56304638595725
221,181.59452194478288
222,181.62554195324188
223,181.65616075881246
224,181.68630436705067
225,181.71598889103478
226,181.74524177702273
227,181.77407436747964
228,181.80248928878325
229,181.83048616972235
230,181.85807430928745
231,181.88525986106075
232,181.91204726803761
233,181.938437011518
234,181.96443341038946
235,181.99003911748724
236,182.01525951354267
237,182.04009754958975
238,182.06455492165796
239,182.08863516392535
240,182.11234236989279
241,182.13567949565649
242,182.15864957352275
243,182.18125549948871
244,182.20350297555274
245,182.2254029343695
246,182.24694853338991
247,182.26815300390524
248,182.28899409657924
249,182.30949567941593
250,182.3296652067695
251,182.34950665385915
252,182.36902562658057
253,182.38822929401556
254,182.40716539932777
255,182.42574831951643
256,182.44402596139184
257,182.46201297805376
258,182.47971379930397
259,182.49713190321469
260,182.51426966273883
261,182.53113634574706
262,182.54774090323775
263,182.56408629982698
264,182.58017394743121
265,182.59601051050532
266,182.61160224900422
267,182.62695437250537
268,182.64207477020116
269,182.65696885949524
270,182.6716401737406
271,182.68609378156006
272,182.70033429644977
273,182.71436532042779
274,182.7281906499189
275,182.7418145502445
276,182.75524063809212
277,182.76847254667459
278,182.7815136437182
279,182.79436740988069
280,182.80703675478503
281,182.8195242990117
282,182.8318338213669
283,182.84396763043432
