"Iteration","Lift in Y Monitor: Lift in Y Monitor (N)"
1.0,4214.107656371067
2.0,2736.259755162956
3.0,1476.747042216025
4.0,798.2381745244188
5.0,580.2856936753287
6.0,442.1567135984262
7.0,361.8018234780966
8.0,334.45208294470996
9.0,345.6346544085858
10.0,379.6595963444742
11.0,411.6637193190873
12.0,434.0995720740736
13.0,450.80552964496854
14.0,463.205298283126
15.0,469.6949174347714
16.0,483.8591246194843
17.0,496.65359491255396
18.0,508.40822994195054
19.0,523.1729372127928
20.0,533.5647653312976
21.0,543.5297838753578
22.0,553.1284756315183
23.0,562.8120358586385
24.0,574.1217952762053
25.0,581.3322770757366
26.0,591.0697481211952
27.0,598.795360547255
28.0,606.1023198470516
29.0,613.2343638118799
30.0,619.9204070549825
31.0,626.484028943882
32.0,632.8003457222874
33.0,638.6351660037147
34.0,644.2307392910229
35.0,649.3634438959128
36.0,654.0748626152717
37.0,658.6100866816097
38.0,662.7195315539384
39.0,666.5151942459099
40.0,669.9555262654154
41.0,673.059952797418
42.0,675.9791202813784
43.0,678.6694130530308
44.0,680.9923188477396
45.0,683.0591264833213
46.0,684.8587619952036
47.0,686.4623467206569
48.0,687.7429655802105
49.0,688.9543675992417
50.0,689.9574015330724
51.0,690.7165467200359
52.0,691.2889560313441
53.0,691.6570981999971
54.0,691.795043543704
55.0,691.7548841158825
56.0,691.5748880082031
57.0,691.2954076518639
58.0,690.8724259135497
59.0,690.3861610929594
60.0,689.8691026044041
61.0,689.3028602851642
62.0,688.7112767405206
63.0,688.3110187006262
64.0,687.5891043235113
65.0,687.1327958602338
66.0,686.7052677526688
67.0,686.293083359915
68.0,685.9320542798924
69.0,685.7584190871587
70.0,685.635214522039
71.0,685.4509535788897
72.0,685.4975550388856
73.0,685.6694357108862
74.0,686.3466474962136
75.0,686.7873671316021
76.0,687.5904067293288
77.0,688.32145258776
78.0,689.108078928725
79.0,689.9918481395099
80.0,690.9831400817785
81.0,692.0755821925225
82.0,693.257082946573
83.0,694.8000177794092
84.0,695.8114344302891
85.0,697.1624665083607
86.0,698.9332162879881
87.0,700.1094366547635
88.0,701.8774228770211
89.0,703.161146948499
90.0,704.9949166047334
91.0,706.5390214752217
92.0,708.0666624372312
93.0,709.6139427271603
94.0,711.1929507375193
95.0,712.7686255836435
96.0,714.4458457072152
97.0,715.8355675130088
98.0,717.4486660796525
99.0,718.7975695303757
100.0,720.387296233775
101.0,721.6931115920131
102.0,723.1195421195041
103.0,724.5304078021453
104.0,725.8802282585543
105.0,727.1851618971625
106.0,728.4648897180551
107.0,729.7281642333053
108.0,730.9455351537388
109.0,732.1275964166924
110.0,733.2812756872457
111.0,734.4136318415206
112.0,735.5178323261633
113.0,736.5954676783781
114.0,737.644461682783
115.0,738.6692063395055
116.0,739.6658829718027
117.0,740.6334098249785
118.0,741.5756434596345
119.0,742.4960050725191
120.0,743.3929392717797
121.0,744.2609066684535
122.0,745.1001049761102
123.0,745.918374289389
124.0,746.7129606292423
125.0,747.4811973406809
126.0,748.2227163553125
127.0,748.9439775397107
128.0,749.6442370422576
129.0,750.2406932797675
130.0,751.0027852120726
131.0,751.6429749074866
132.0,752.1627024073359
133.0,752.8291595887808
134.0,753.392936286732
135.0,753.8590020174049
136.0,754.453784827193
137.0,754.9010237475956
138.0,755.3872303864194
139.0,755.8709393226593
140.0,756.3322600757268
141.0,756.7700313300687
142.0,757.1869140124372
143.0,757.5853509883698
144.0,757.9689911184602
145.0,758.33850012535
146.0,758.6954592600365
147.0,759.0415819038726
148.0,759.3778280739675
149.0,759.7042670049964
150.0,760.0212725284383
151.0,760.3298109263153
152.0,760.6296152173458
153.0,760.9230063868301
154.0,761.2103679333186
155.0,761.4925626093216
156.0,761.7705376791633
157.0,762.0446051009446
158.0,762.3155359396279
159.0,762.5842680576768
160.0,762.8516073234542
161.0,763.1188889982135
162.0,763.4184016926787
163.0,763.6451195999583
164.0,763.9364353113994
165.0,764.2009067937731
166.0,764.4636363090873
167.0,764.733266717632
