"Iteration: Iteration","Drag in X Monitor: Force (N)"
1,10661.316471747552
2,6523.9782306193883
3,3619.4209690813186
4,2044.1888961956511
5,1298.6948545806063
6,801.9535780173278
7,506.07474193507483
8,350.36998125021825
9,280.18674341096789
10,308.52771151726165
11,295.53741191723674
12,316.78774663514889
13,308.09701321436302
14,297.15417153545036
15,285.6457866307374
16,278.87836820607032
17,272.75755932983486
18,269.33807308862703
19,266.42707188284504
20,263.53295694182844
21,259.14409237656753
22,253.94886836644613
23,248.83762145224568
24,244.10602909801801
25,239.73788037029044
26,235.52445334785637
27,231.60650998156777
28,227.57071138749245
29,223.42797495867805
30,219.3348415227876
31,215.14014337829852
32,210.95408233905928
33,206.60169775850039
34,202.19775774677532
35,197.62516553027172
36,193.08626940222553
37,188.5346791413026
38,183.75103649208557
39,178.79042327844013
40,173.77947890620612
41,168.6999740762343
42,163.65240655769941
43,158.9869288629335
44,153.90633692961114
45,148.79107156669249
46,143.78359131970001
47,138.71011929620585
48,133.8419103002351
49,128.73047317891024
50,124.7214531516068
51,119.75376801974943
52,115.97108861938591
53,111.25779124259213
54,107.28377842126508
55,104.05803623650775
56,99.936635084543013
57,97.050070635694908
58,93.352040989151533
59,90.917690714114201
60,88.230905507705756
61,85.641704271137201
62,83.384605686604118
63,81.491055542137815
64,79.84384477463243
65,78.748840111246523
66,77.168742892876821
67,76.433994460158146
68,75.819737769234109
69,75.275230777408751
70,75.066930556173986
71,74.759539150590456
72,74.742211494012963
73,75.050017663354481
74,75.232465464033567
75,75.997824146314485
76,76.438492659176518
77,77.154582002731502
78,77.754796580838331
79,78.349997389166788
80,78.948517910297198
81,79.551900694365656
82,80.127829991682916
83,80.670436053700712
84,81.194731844376463
85,81.66880433043093
86,82.080087727735474
87,82.423115967573892
88,82.679121064435492
89,82.885778389199913
90,83.005233071187831
91,83.06039114501533
92,83.064162774789963
93,82.975416492274121
94,82.831311576841927
95,82.632539973456687
96,82.387658535444132
97,82.06989531237474
98,81.694748160068627
99,81.301978546055352
100,80.860260206697262
101,80.396334784127475
102,79.919932335535748
103,79.401360923328241
104,78.863710959383695
105,78.313170229864511
106,77.728474497745992
107,77.135223142746327
108,76.557962649141473
109,75.976273096490672
110,75.410395170565323
111,74.848537740974621
112,74.278151080730879
113,73.712643095178635
114,73.160418021708438
115,72.612061151879914
116,72.062843419006583
117,71.528464563156319
118,71.021734940128567
119,70.52613818731146
120,70.037468494827579
121,69.56374915510952
122,69.091901510862044
123,68.632870928921761
124,68.187242171647426
125,67.761640374895819
126,67.347900094192255
127,66.944570604678404
128,66.559738372069717
129,66.190466306841643
130,65.834805408451473
131,65.503256888965495
132,65.188257715633142
133,64.885281122745653
134,64.599278757067054
135,64.330037116494282
136,64.138328647267485
137,63.858397645975742
138,63.697088811447372
139,63.46090014935811
140,63.332006726468592
141,63.155434492597465
142,63.062956992109719
143,62.931628126076987
144,62.868373892465172
145,62.790051701275559
146,62.759220255152059
147,62.743510851041776
148,62.754814502557053
149,62.795934248424032
150,62.843625646437715
151,62.917885655180612
152,63.009213335721654
153,63.112104941064331
154,63.224555149714661
155,63.362524303458144
156,63.520425784514259
157,63.697689935239396
158,63.882685198262266
159,64.069597146709555
160,64.26270924046986
161,64.493031202404779
162,64.668306415739266
163,64.914068941308983
164,65.122482285606338
165,65.327792169898089
166,65.536079757389132
167,65.744165704133536
168,65.945258696349811
169,66.141877508559276
170,66.328247341390238
171,66.507960905376933
172,66.678369679099887
173,66.834890358882603
174,66.977323893589926
175,67.108449549383181
176,67.23096841270808
177,67.331984952441303
178,67.418447056144373
179,67.491640480296212
180,67.551060057984557
181,67.613858254876845
182,67.63620492831501
183,67.649506859006806
184,67.650098311397187
185,67.642400655815209
186,67.621943660455258
187,67.59333119906222
188,67.556414642765105
189,67.523281862611498
190,67.443842133052499
191,67.400437095466827
192,67.313702623770212
193,67.261133010177389
194,67.167020687632771
195,67.108490818109772
196,67.009258462995206
197,66.940944723063581
198,66.838618982917978
199,66.770632567176904
200,66.669585961403016
201,66.601599857348845
202,66.502007303184541
203,66.439948604940923
204,66.343217871558295
205,66.276010593348644
206,66.183224694519083
207,66.122447389429112
208,66.033174455843778
209,65.96616784423361
210,65.903355463383207
211,65.841296606385754
212,65.778857170714559
213,65.717995431564361
214,65.659347849883375
215,65.604115735240214
216,65.549954353705459
217,65.497597378576756
218,65.447153439025385
219,65.398454296385182
220,65.345484892341233
221,65.306782002050113
222,65.261852265886375
223,65.217000064496347
224,65.174264309833177
225,65.129023589762539
226,65.086361548455045
227,65.045233414559675
228,65.004312291375868
229,64.959587403416606
230,64.912971844590743
231,64.867774002735132
232,64.822561810346087
233,64.780829788851406
234,64.730276178395172
235,64.676311855093502
236,64.630136918605274
237,64.582415079444218
238,64.531511071837599
239,64.479548752632695
240,64.426928024248355
241,64.373929825937466
242,64.320693568440959
243,64.267328395054449
244,64.21387292071347
245,64.159799917550345
246,64.106440145812826
247,64.053781198547711
248,64.008065495664312
249,63.943778146820364
250,63.891630050651713
251,63.841944499091028
252,63.791810927065399
253,63.741239301628127
254,63.688464402318402
255,63.638663428095185
256,63.589948971651609
257,63.541675522129651
258,63.500439250703835
259,63.441196160493007
