"Iteration: Iteration","Lift in Y Monitor: Force (N)"
1,19986.510049251003
2,11931.570500920579
3,5850.001047769294
4,2901.9019413322258
5,2110.322750927794
6,1617.3861074720719
7,1358.7416018298254
8,1285.8125493527914
9,1333.5832311140264
10,1741.8754113268014
11,1781.3049376842973
12,1920.3728466005145
13,1948.8554903881716
14,1972.3560462014725
15,2014.8763971241374
16,2045.9244083605618
17,2098.803046132698
18,2151.86750709737
19,2211.5787378851314
20,2258.3306431215337
21,2297.9436983331043
22,2336.1179375882857
23,2373.9990176769993
24,2409.439226053692
25,2443.9172277326697
26,2476.0945384010665
27,2506.5590392679405
28,2535.6030035991666
29,2562.4282970625754
30,2586.8192105152143
31,2610.1690555182909
32,2631.6126691521463
33,2652.1796898238822
34,2670.9644133616539
35,2687.7185015666073
36,2702.4456076093893
37,2715.6827368878094
38,2727.3767127584129
39,2737.4091578117882
40,2745.8063039613176
41,2752.3936035549987
42,2757.8599602435293
43,2761.7511525409468
44,2764.358807067319
45,2766.0274346420074
46,2766.1785263920365
47,2764.5380656903362
48,2762.792098546021
49,2760.0102273352391
50,2755.9171171506296
51,2751.1808930971033
52,2745.6419260889788
53,2739.3434004245337
54,2732.7029649440146
55,2725.0744300587585
56,2718.1398615930907
57,2710.4004541025383
58,2704.0958399977103
59,2693.9585646458108
60,2687.0167900491479
61,2679.2399769241206
62,2670.1539661475149
63,2662.1270369308777
64,2654.1635387369197
65,2646.6399165148091
66,2639.8682923708261
67,2633.6335790590106
68,2627.569930068235
69,2622.9316130691368
70,2619.1610849550561
71,2615.6571826363611
72,2613.9499002558136
73,2612.304534288668
74,2612.2684875338832
75,2612.7419334726465
76,2613.5304190175048
77,2614.2681428310098
78,2615.7553557484839
79,2617.8966816304323
80,2620.2994924201357
81,2624.1474514801885
82,2628.8902808981707
83,2633.3961169373829
84,2637.9869214873434
85,2643.275259938483
86,2648.6634348670186
87,2655.5244151635984
88,2663.0194901992313
89,2669.5783272186263
90,2677.1768722944335
91,2683.5405138903297
92,2691.7641032306678
93,2699.644373121032
94,2707.2165131461456
95,2715.13499953676
96,2722.6897867533498
97,2729.5013169913659
98,2736.6190474996956
99,2742.4776199466933
100,2749.6038718548648
101,2753.8733224868256
102,2758.6219076036714
103,2761.9775649636713
104,2764.8571370690711
105,2766.1954077178962
106,2766.2445364891282
107,2765.8841479792945
108,2763.4181188284128
109,2760.1266975679923
110,2754.888185899702
111,2748.1962681095783
112,2740.3286833224051
113,2728.1653675120265
114,2717.8245621454935
115,2703.9725980240519
116,2688.5927761265989
117,2671.1098419025084
118,2647.848833778075
119,2629.5079408863203
120,2608.4617709204417
121,2578.8430049524795
122,2555.3963564992328
123,2528.1389110802015
124,2493.3559716528207
125,2466.0659069875792
126,2435.4297520760779
127,2405.0505914448058
128,2373.329115972474
129,2337.6604819561062
130,2303.6144593583226
131,2269.6922095854611
132,2237.2490089733196
133,2204.6852639712529
134,2170.5867285274444
135,2136.8265131674157
136,2102.8190622431389
137,2065.78889949636
138,2030.14528457699
139,1994.3278564626266
140,1959.6124853548451
141,1922.8136928484259
142,1886.0778200450072
143,1847.5419616147728
144,1808.1203654634317
145,1770.8247317867911
146,1734.0393134511617
147,1698.3549394462068
148,1667.1395588158546
149,1638.7904182493257
150,1611.1219269776047
151,1586.5708159172086
152,1565.928552777528
153,1547.9108811299282
154,1534.6049419153589
155,1528.2780418498728
