"Iteration: Iteration","Lift in Y Monitor: Force (N)"
1,13966.563306128864
2,8482.5341095217827
3,4241.7108221171111
4,2168.7910884376488
5,1604.7503959017497
6,1252.696952695344
7,1062.6612165968052
8,1008.1213334268818
9,1037.7432580593384
10,1319.3800517090544
11,1391.7748651101401
12,1447.527845340833
13,1487.0713227740134
14,1523.8425326536815
15,1559.5678799106397
16,1597.083138870855
17,1644.1716945492162
18,1679.9634673368791
19,1714.1721974348663
20,1755.5412085240641
21,1787.7923152599406
22,1818.1697535739754
23,1848.6883129864977
24,1877.4672722909854
25,1905.586182944563
26,1932.3501341469796
27,1957.2068115727786
28,1980.6874825251848
29,2002.7190500423194
30,2023.8439252848611
31,2043.4978244986537
32,2062.0009853654797
33,2079.4212712445674
34,2095.5438926501715
35,2110.2475269511351
36,2123.7230899361703
37,2136.2076093620603
38,2147.6759879210476
39,2157.6978529767521
40,2166.6696037076908
41,2173.726895302384
42,2181.6870908567794
43,2186.9579318111391
44,2192.2929003849199
45,2196.963985611862
46,2199.8218989850561
47,2202.6822063059662
48,2204.0757146969304
49,2205.4857097069498
50,2205.6879674516185
51,2205.7472779131731
52,2205.3800379510476
53,2204.0224419490387
54,2202.4587302232349
55,2200.1193149128239
56,2197.9806679554035
57,2194.6674028930825
58,2192.6104404780544
59,2189.7063364220094
60,2186.2539314312053
61,2182.6380593877243
62,2178.7906831164719
63,2175.2668810181481
64,2172.888933939912
65,2169.0746187365039
66,2166.9902381598695
67,2163.9022692502276
68,2162.2474511423652
69,2160.716326347329
70,2159.8849965822319
71,2157.6983531608612
72,2157.314046437828
73,2157.0933100277184
74,2156.991160255367
75,2157.3584146444282
76,2158.9212474363226
77,2159.6892637163446
78,2162.2647929736704
79,2163.7932264363303
80,2166.4524544384972
81,2168.8593198302315
82,2171.3764328342236
83,2174.1730974456104
84,2177.2891202922096
85,2180.6749574471833
86,2184.2528079133763
87,2187.9922972558807
88,2191.6751723535185
89,2195.4304398413933
90,2199.2889516201953
91,2203.1891305745403
92,2207.1184065851226
93,2211.0992322148286
94,2215.0020373788138
95,2218.8999816086166
96,2222.6646428098529
97,2226.4605577126085
98,2230.1070985354499
99,2233.8344896265689
100,2237.3670447046538
101,2240.8467464546234
102,2244.2131157474373
103,2247.4552540861378
104,2250.5717050807853
105,2253.6030502434714
106,2256.5639186617359
107,2259.4340350105681
108,2262.2107391254681
109,2264.9581675780255
110,2267.5356543355028
111,2270.0200969933167
112,2272.4861706734773
113,2274.8807259097148
114,2277.1623861907183
115,2279.3441163083139
116,2281.455249974897
117,2283.4917472757656
118,2285.4201931611501
119,2287.3072764002022
120,2289.1450259001604
121,2290.8985090075503
122,2292.5764154494891
123,2294.1821068883241
124,2295.7282588332346
125,2297.2150630128535
126,2298.629846778264
127,2299.9806947898364
128,2301.2648211714854
129,2302.493998438883
130,2303.6682548163112
131,2304.7877278055312
132,2305.8526538149799
133,2306.8707291997348
134,2307.8491263329274
135,2308.7924921292406
136,2309.6898959706241
137,2310.541621248326
138,2311.3597322632545
139,2312.1489029136792
140,2312.9081813632993
141,2313.6629056101428
142,2314.3863695458954
143,2315.0957265934494
144,2315.7952100281123
145,2316.4821646663881
146,2317.1693463939246
147,2317.8663082751145
148,2318.5615319614794
149,2319.2565369926301
150,2319.9717604570783
151,2320.6746400470925
152,2321.4008498560229
153,2322.150822765162
154,2322.9192344887497
155,2323.7149640780071
156,2324.5346780841637
157,2325.3838182858549
158,2326.2768279162001
159,2327.1862381756659
160,2328.1085666441745
161,2329.0768677411575
162,2330.2198018527201
163,2331.1987664458688
164,2332.2315745215606
165,2333.3224355427824
166,2334.4544859861562
167,2335.6291234738242
168,2336.8350995438859
169,2338.0787356851401
170,2339.3537094365424
171,2340.6575388995993
172,2341.9848991541307
173,2343.3543581598396
174,2344.7416594173469
175,2346.1526279830832
176,2347.5857539247227
177,2349.0263377755728
178,2350.5015504067446
179,2351.9967659505237
180,2353.5059728098086
181,2355.0261826073888
182,2356.555250943823
183,2358.0896616589398
184,2359.630769198589
185,2361.1827575023644
186,2362.7367378819145
187,2364.3004116010638
188,2365.8533008319996
189,2367.4003742989689
190,2368.9457708787209
191,2370.4874958461082
192,2372.0239662238437
193,2373.6724505369812
194,2375.0219112484938
195,2376.6588478726171
196,2378.1280475293452
197,2379.5975823684826
198,2381.0645815839234
199,2382.5275175297993
200,2383.9764647344855
201,2385.4219266127798
202,2386.8531511300425
203,2388.2719459520758
204,2389.6782405105596
205,2391.0710639192498
206,2392.450189560273
207,2393.8183336150405
208,2395.1718651487872
209,2396.5129713464048
210,2397.8614041518563
211,2399.1741388485539
212,2400.4736620344306
213,2401.7672311445335
214,2403.0513156541342
215,2404.3256072094218
216,2405.5900001421028
217,2406.8446174925734
218,2408.0896295965254
219,2409.3249911378562
220,2410.5516778087567
221,2411.7692729274818
222,2412.9800944387939
223,2414.0960737321893
224,2415.3216597741521
225,2416.537241243378
226,2417.7302623698306
227,2418.8936891157723
228,2420.0527178148604
229,2421.2024075965469
230,2422.3455095806457
231,2423.479536740801
232,2424.604797520401
233,2425.7215858057898
234,2426.8303554641711
235,2427.9312899436995
236,2429.0205732786276
237,2430.1060110040203
238,2431.1932163152414
239,2432.2603223391989
240,2433.3182321130967
241,2434.3602683528784
242,2435.39867407785
243,2436.4379042660144
244,2437.4695646201076
245,2438.4981641583176
246,2439.508643613734
247,2440.5108519997921
248,2441.5061988169828
249,2442.4945649418014
250,2443.4755199100177
251,2444.4489404926767
252,2445.4148954444408
253,2446.3731454385993
254,2447.3239145940943
255,2448.2676095145994
256,2449.2034760659571
257,2450.1344379191405
258,2451.0574633964529
259,2451.9726786981
260,2452.880653447723
261,2453.7817979968586
262,2454.6761348637237
263,2455.5637952730917
264,2456.4464312950654
265,2457.319714697825
266,2458.1851014117196
267,2459.0464559469879
268,2459.9017583530881
269,2460.7505467735195
270,2461.5931797763587
271,2462.4290059807126
272,2463.2584227822554
273,2464.0815362673679
274,2464.8986716032491
275,2465.709565697975
276,2466.515392711296
277,2467.3166151073883
278,2468.1045302705998
279,2468.8894429502266
280,2469.6687478170074
281,2470.441580304142
282,2471.2054054143155
283,2471.9699972407893
284,2472.721477349543
285,2473.4658923900693
286,2474.2040208588314
287,2474.9357222188069
288,2475.6607524685342
289,2476.3789115351447
290,2477.0901117216158
291,2477.7943881596957
292,2478.4917614393512
293,2479.1822710215624
294,2479.8659307277139
295,2480.5426239985673
296,2481.2123607153248
297,2481.8751716506904
298,2482.5298087406413
299,2483.1798561218375
300,2483.8227542358959
301,2484.4592263492741
302,2485.087289011587
303,2485.7085453595087
304,2486.3237744829535
305,2486.9327289724351
306,2487.5352064714098
307,2488.1318851087408
308,2488.7163065343721
309,2489.3007876227207
310,2489.8791482333781
311,2490.4505310084555
312,2491.0152057636897
313,2491.5751393493019
314,2492.1264712754514
315,2492.6725114789069
316,2493.2109413664602
317,2493.7458273333609
318,2494.2752408283027
319,2494.7987103026226
320,2495.3163908438228
321,2495.8283695152263
322,2496.3347728371168
323,2496.8357182727927
324,2497.3312734140809
325,2497.8267055276633
326,2498.3098671599532
327,2498.7876866106644
328,2499.2613355047424
329,2499.730545774456
330,2500.1949723866664
331,2500.6544945464493
332,2501.1090327804827
333,2501.5585312479275
334,2502.0031138784861
335,2502.442900199881
336,2502.8778392308154
337,2503.3080575414378
338,2503.7343690522839
339,2504.154952271967
340,2504.5709369619085
341,2504.9825772861245
342,2505.3899472104999
343,2505.7930032288355
344,2506.1917545540223
345,2506.5862264711609
346,2506.9764990185936
347,2507.3626045658207
348,2507.7445987423762
349,2508.1225429172609
350,2508.496421437324
351,2508.8663875219172
352,2509.2325169892642
353,2509.5947977438432
354,2509.9532716185654
355,2510.3079186389355
356,2510.6588668725676
357,2511.0061334219813
358,2511.3497982665963
359,2511.6898601851249
360,2512.0263647490929
361,2512.3829952168571
362,2512.6798046082477
363,2513.0294919770718
364,2513.325056007181
365,2513.670918692922
366,2513.9817292793564
367,2514.2689103014504
368,2514.6070743503706
369,2514.9089022391076
370,2515.2087688604529
371,2515.5075489401474
372,2515.8045716913634
373,2516.0984628596002
374,2516.3903017994644
375,2516.679243537139
376,2516.9652653040444
377,2517.248323239347
378,2517.52853462655
379,2517.8059682271655
380,2518.0816816810475
381,2518.3532277033064
382,2518.622115326767
383,2518.8885177913025
384,2519.1524174568262
385,2519.4137834291851
386,2519.6725994143471
387,2519.9288764193425
388,2520.1826290721378
389,2520.433896708284
390,2520.6826665739236
391,2520.9290390781034
392,2521.1729570714583
393,2521.4144871329877
394,2521.6536174134098
395,2521.8899225931541
396,2522.1244837479771
397,2522.3567909560047
398,2522.5866966020876
399,2522.814293742043
400,2523.0395926336823
401,2523.262686115017
402,2523.4835566786924
403,2523.7022811523734
404,2523.9188305502294
405,2524.1332679510465
406,2524.3456609129125
407,2524.5559310084159
408,2524.7640937161877
409,2524.970297636185
410,2525.1745390898536
411,2525.376719289337
412,2525.5769069869352
413,2525.7751106099568
414,2525.971507245049
415,2526.1659299133021
416,2526.3584894565283
417,2526.5492660794398
418,2526.7381892619437
419,2526.9252319556817
420,2527.1105033895892
421,2527.2940717395618
422,2527.4759011198366
423,2527.6559205363619
424,2527.8342430136954
425,2528.0108726038966
426,2528.185828078605
427,2528.3591085505509
428,2528.5307318702758
429,2528.7007164715433
430,2528.8690805845495
431,2529.0358475473422
432,2529.1997161255936
433,2529.363832975519
434,2529.5261984496151
435,2529.6869163166939
436,2529.8460717720523
437,2530.0036442752089
438,2530.1598369323719
439,2530.3144172980733
440,2530.4675109731215
441,2530.6191890530304
442,2530.7694470344495
443,2530.9182966225117
444,2531.0657514389877
445,2531.2118072458402
446,2531.3564806744357
447,2531.4997925407988
448,2531.6417520680106
449,2531.7823771600579
450,2531.9216873539162
451,2532.0596874719727
452,2532.196386614175
453,2532.3318047544603
454,2532.4659796685405
455,2532.5989298365976
456,2532.7306295399371
457,2532.8611591112212
458,2532.9905207803254
459,2533.1187373271423
460,2533.2458341405718
461,2533.3718225341077
462,2533.4967141845295
463,2533.6205241776461
464,2533.7432636665931
465,2533.8649387196961
466,2533.9855513059188
467,2534.1050561591323
468,2534.2234742689361
469,2534.3409610344006
470,2534.4573892670642
471,2534.5727536164932
472,2534.6870663867344
473,2534.8003387840095
474,2534.9125672685464
475,2535.023757720342
476,2535.1339261493413
477,2535.2430805250224
478,2535.3512295513715
479,2535.4583821800761
480,2535.5645485502928
481,2535.6697424909162
482,2535.7739560020395
483,2535.8772141513587
484,2535.9795115914594
485,2536.080888475452
486,2536.181339688751
487,2536.2808646423987
488,2536.3794749612439
489,2536.4771820607002
490,2536.5739949938493
491,2536.6699215865142
492,2536.7649680570371
493,2536.85914363449
494,2536.9524553177503
495,2537.0449083603762
496,2537.1365093058703
497,2537.2272641416721
498,2537.3171799875681
499,2537.4062653969554
500,2537.4945241310647
501,2537.5819597894065
502,2537.6685833843567
503,2537.7543981404124
504,2537.8394100242604
505,2537.9236246366463
506,2538.007047982524
507,2538.0896827267215
508,2538.1715407265424
509,2538.2526252975254
510,2538.3329407377273
511,2538.4124915886723
512,2538.4912825944407
513,2538.5693182053328
514,2538.6466027407068
515,2538.7231419997834
516,2538.7989401432928
517,2538.8740009672633
518,2538.9483287729536
519,2539.0219283505467
520,2539.0948698922352
521,2539.1670250277189
522,2539.238453871199
523,2539.3091814249397
524,2539.3792157349585
525,2539.4485600443459
526,2539.5172190255689
527,2539.5852327012053
528,2539.652523028878
529,2539.7191542170622
530,2539.7851345721774
531,2539.85046712846
532,2539.9151580377525
533,2539.9792142823662
534,2540.0426427391712
535,2540.1054509307805
536,2540.1676464838279
537,2540.2292371120138
538,2540.2902304118156
539,2540.3506326513052
540,2540.4104507594934
541,2540.4696914327233
542,2540.5283608222985
543,2540.5864648574907
544,2540.644010018375
545,2540.7010023460066
546,2540.7574468387597
547,2540.8133498507927
548,2540.8687172341124
549,2540.9235543074929
550,2540.9778661639175
551,2541.0316580086019
552,2541.0849345840479
553,2541.1377009296407
554,2541.1899615469897
555,2541.2380338791445
556,2541.2947342525654
557,2541.3413568127717
558,2541.3962581570736
559,2541.4416693160097
560,2541.4953744378599
561,2541.5398735032804
