"Iteration: Iteration","Lift in Y Monitor: Force (N)"
1,11582.177154663887
2,7109.7151548452675
3,3584.5635778380984
4,1870.7796095809929
5,1392.9366485874159
6,1088.7228398706243
7,925.42963721178114
8,904.0026030170078
9,973.62582621920751
10,1020.3192936537099
11,1232.6933358692561
12,1277.4635598947914
13,1308.9922071138517
14,1335.1081312971403
15,1361.4287347541399
16,1389.053494423501
17,1420.8334214432816
18,1464.7294709106927
19,1499.2093149212528
20,1529.5798298535785
21,1563.9546803319779
22,1589.834036015327
23,1615.6566754114858
24,1640.6983059791824
25,1665.7616121697524
26,1689.1897701984656
27,1711.1360306267852
28,1731.9994616289164
29,1752.769926072277
30,1771.8115809896749
31,1790.0896383930392
32,1806.9704641639016
33,1822.8988393972963
34,1837.6949474983701
35,1851.29389896167
36,1864.1273851642541
37,1875.7979699727885
38,1886.2643089959327
39,1896.0333361357589
40,1904.9963195618061
41,1913.0648795010395
42,1920.0843797729285
43,1926.2086845258332
44,1931.1003754773847
45,1936.9020947203749
46,1940.5184052161439
47,1944.4628047124411
48,1946.9317871771075
49,1949.3017832959288
50,1951.008619409479
51,1952.047875263828
52,1952.1548424915297
53,1952.0666137494047
54,1951.83997416846
55,1950.7976747155813
56,1949.8094497601955
57,1947.9530999964397
58,1946.4617521024334
59,1944.6098296519067
60,1942.3411445919057
61,1939.7862013656893
62,1937.3642697416956
63,1935.0792249486537
64,1933.608761815055
65,1931.1236465289489
66,1929.6434429293979
67,1928.1247466932587
68,1926.7608129209291
69,1926.0624808640591
70,1924.4006937079087
71,1924.1368829026922
72,1924.1168466563879
73,1924.5582400670589
74,1925.011611503839
75,1926.8335268657463
76,1928.074129501817
77,1930.3320415042317
78,1932.4555517916674
79,1934.656641201926
80,1937.0622837660351
81,1939.8760925889108
82,1942.9537511305493
83,1946.255426611549
84,1949.737225433985
85,1953.5061460535032
86,1957.3196655216063
87,1961.2378049422334
88,1965.2488257693421
89,1969.357847700699
90,1973.5985494009162
91,1977.8509332638369
92,1982.0966645153337
93,1986.4833998133165
94,1990.7051347247964
95,1995.5489052427702
96,1998.9640493786458
97,2003.4541178541922
98,2007.0570711286684
99,2011.6730050091801
100,2015.6217563443986
101,2019.4086883786094
102,2023.1404244698545
103,2026.8470654466589
104,2030.4950859657067
105,2034.068004489659
106,2037.5453311947115
107,2040.9394684316915
108,2044.2712298757665
109,2047.5487172915355
110,2050.724568876135
111,2053.8239475566556
112,2056.8426918108889
113,2059.3906238059053
114,2062.8054189854288
115,2065.6416803469401
116,2068.2746958062739
117,2070.8458057958337
118,2073.3972229451929
119,2075.8980066205295
120,2078.3277105009188
121,2080.6533660353571
122,2082.9559457557489
123,2085.1852979083073
124,2087.3438402479246
125,2089.427111616546
126,2091.4647206103477
127,2093.41452074783
128,2095.2920938102779
129,2097.1062673654715
130,2098.6293132063288
131,2100.6099497306059
132,2102.0468101241595
133,2103.6116364110981
134,2105.183328624028
135,2106.6887306800159
136,2108.1135003385384
137,2109.4579712562695
138,2110.7449871896533
139,2112.0091882750612
140,2113.1974734200435
141,2114.337831203673
142,2115.4404386332953
143,2116.5106814431856
144,2117.549843625322
145,2118.5567813271959
146,2119.5372496562482
147,2120.4903685030467
148,2121.4184139471004
149,2122.3242685845476
150,2123.2086795291689
151,2124.0782708003171
152,2124.9347504760913
153,2125.7794419924076
154,2126.6144370838588
155,2127.4424800469988
156,2128.2653503357838
157,2129.0846781503469
158,2129.9030158981286
159,2130.7243172536146
160,2131.5473410510003
161,2132.3751049172611
162,2133.3221125477467
163,2134.0282476953653
164,2134.9648715638514
165,2135.8094977020996
166,2136.6569710885678
167,2137.5297085279444
168,2138.4239375910583
169,2139.3924817467537
170,2140.2130926521186
171,2141.2291736676798
172,2142.0887882406146
173,2143.055905817554
174,2144.0441707021096
175,2145.0426363428091
176,2146.0464151008182
177,2147.0569352258162
178,2148.079251088127
179,2149.1110889500796
180,2150.1523432531139
181,2151.1935742748437
182,2152.2534719054702
183,2153.3210173046705
184,2154.3964668083336
185,2155.4808594836477
186,2156.56493784226
187,2157.6400594782981
188,2158.7197872506549
189,2159.8025892562978
190,2160.8873460588352
191,2161.9741873474763
192,2163.057309076099
193,2164.1361386811368
194,2165.2825497502154
195,2166.2423133636885
196,2167.3983083756043
197,2168.4412514734249
198,2169.4770985612995
199,2170.5174821275809
200,2171.5567491894917
201,2172.5905905291306
202,2173.6167518362254
203,2174.6354642722508
204,2175.6457563446729
205,2176.6469350839889
206,2177.6393463372451
207,2178.6231496928449
208,2179.597992066359
209,2180.5646121303148
210,2181.5185777954684
211,2182.4701454078013
212,2183.4067907609019
213,2184.334417234902
214,2185.2527653860557
215,2186.1630416346784
216,2187.0646263940234
217,2187.9572512515224
218,2188.8409617918155
219,2189.715958724662
220,2190.5822623594099
221,2191.4400014708676
222,2192.289359880041
223,2193.1299943607123
224,2193.9588238264769
225,2194.7838684530834
226,2195.6019652171458
227,2196.408996211771
228,2197.2078642370134
229,2197.9984518594592
230,2198.7806311195427
231,2199.5546420133201
232,2200.2712324941685
233,2201.1062909780903
234,2201.7968638572793
235,2202.6042509421968
236,2203.2753802715006
237,2204.0639743120623
238,2204.7205714221873
239,2205.4912873154221
240,2206.1340043390364
241,2206.8876564465563
242,2207.516104909012
243,2208.2536386460165
244,2208.8679957044933
245,2209.5901263781634
246,2210.19175828179
247,2210.8470946313892
248,2211.5023066303224
249,2212.1456241277047
250,2212.7779541760219
251,2213.4015179913545
252,2214.018924843389
253,2214.6278026073005
254,2215.2303464268575
255,2215.8268790106472
256,2216.4174867248425
257,2217.0020678685469
258,2217.5807516914588
259,2218.1536331366806
260,2218.720775775013
261,2219.2832240404109
262,2219.8393796364335
263,2220.4297582015975
264,2220.9185025193815
265,2221.4973726170961
266,2222.0210845062352
267,2222.5409207854814
268,2223.0592643595432
269,2223.5772924392527
270,2224.0912245068466
271,2224.6016907257185
272,2225.1029356236131
273,2225.6025380047213
274,2226.0973691801437
275,2226.5872633153331
276,2227.0721928635694
277,2227.5524344183286
278,2228.0279425038125
279,2228.4987555936686
280,2228.9649352239394
281,2229.4263703241586
282,2229.8833821589551
283,2230.3355261312363
284,2230.783124673866
285,2231.2261821878969
286,2231.6647161765527
287,2232.0986496048222
288,2232.4971412886948
289,2232.9668632842627
290,2233.3534589590026
291,2233.8072559741554
292,2234.1819997759653
293,2234.5937240586163
294,2235.0037884460371
295,2235.4048329526868
296,2235.7999111728213
297,2236.1894469911776
298,2236.5740741083418
299,2236.954379434364
300,2237.3302929413317
301,2237.7018602069707
302,2238.0691679122206
303,2238.4322486817964
304,2238.7910766569544
305,2239.1457258702517
306,2239.4962768111054
307,2239.8427414797825
308,2240.18520468921
309,2240.5237086147945
310,2240.8582379180098
311,2241.188797380235
312,2241.5154585599839
313,2241.8382669943057
314,2242.1572911563348
315,2242.4724687048911
316,2242.7838703576172
317,2243.09152672248
318,2243.3955048489252
319,2243.6958273196815
320,2244.0134596668331
321,2244.2760402568579
322,2244.5889451106459
323,2244.8707528038713
324,2245.1483173354823
325,2245.425390806502
326,2245.7009764964428
327,2245.9739632488308
328,2246.2439541835192
329,2246.5108828417992
330,2246.7747015122209
331,2247.0354191218466
332,2247.2930567326871
333,2247.547747876974
334,2247.7994684612654
335,2248.0482746210923
336,2248.2941751096432
337,2248.5372062076444
338,2248.7773868438903
339,2249.0147456609425
340,2249.2494150827401
341,2249.4812016283381
342,2249.7102678600622
343,2249.9366250045678
344,2250.1603394828689
345,2250.3814266959321
346,2250.5999036690528
347,2250.8158315036098
348,2251.0288544101313
349,2251.2397418842379
350,2251.4482419214169
351,2251.6542541392359
352,2251.8578620588573
353,2252.0591035812113
354,2252.257913284594
355,2252.4544800185136
356,2252.6487455470315
357,2252.840756984303
358,2253.0305869342255
359,2253.218174922386
360,2253.4036829680695
361,2253.5870888497657
362,2253.7684092057248
