"Iteration: Iteration","Lift in Y Monitor: Force (N)"
1,5565.9915124538147
2,3553.881943166909
3,1899.9538476789182
4,1037.1237784363852
5,722.23747937193275
6,521.6307303405531
7,404.70228863496243
8,349.21422110564458
9,335.47674753290772
10,408.3565527173277
11,411.48416991976865
12,448.71570104377849
13,455.19305748364553
14,462.1720192611092
15,470.85826493593544
16,481.02689491381466
17,495.38293776009505
18,505.63937273396505
19,521.3809421380173
20,534.23630863469486
21,547.09084204137866
22,556.11716543129637
23,564.72867105951684
24,573.15074113800461
25,581.36587289064084
26,589.23831794154012
27,596.71064204262029
28,603.89409494707729
29,610.49016162646626
30,616.47205923719275
31,622.33701116012048
32,627.83579548720172
33,632.98880175168028
34,637.56793696088641
35,641.9208159941204
36,645.79284111956247
37,649.2291695011844
38,652.39511090296367
39,655.08174517222835
40,657.50325313598455
41,659.50015195500305
42,661.16761017259341
43,662.47700198378936
44,663.52618526522235
45,664.2858674719713
46,664.87774904800756
47,665.25422825359237
48,665.33633019228785
49,665.05982118743395
50,664.74216116672505
51,664.09768454775121
52,662.972830158075
53,662.13027280370454
54,661.01243329573242
55,659.79478737327725
56,658.54045647469263
57,657.19739236400119
58,656.11540229735783
59,654.2537177782948
60,653.03199085720769
61,651.62980610942691
62,650.10624601284974
63,648.63338485665486
64,647.5534571694576
65,645.82318989029307
66,644.82922595634557
67,643.33248620883012
68,642.55570097144846
69,641.35819363853466
70,640.96129497541676
71,639.7453857436268
72,639.46784390702669
73,638.61158788354817
74,638.46421483258166
75,638.02123692851069
76,637.85443795945901
77,637.83207465566443
78,637.80299708496727
79,637.91629227712883
80,638.01794211951142
81,638.22072415092373
82,638.40036436352295
83,638.71378175086136
84,639.00534086764435
85,639.50388801695726
86,639.96897897371775
87,640.32407295488531
88,640.87380573343489
89,641.24108948361004
90,641.76797952573088
91,642.13974691040346
92,642.61767744023689
93,642.8467881681679
94,643.24755904426002
95,643.46567063254645
96,643.64019075984356
97,643.80897212447496
98,643.88872279647069
99,643.90585420350988
100,643.80731145698371
101,643.62252996349366
102,643.33985081372498
103,643.0531398525153
104,642.59356033687015
105,642.10984391161196
106,641.49562172558433
107,640.73044105461349
108,639.96284714829301
109,639.08122844950628
110,638.17922153109077
111,637.19070025861629
112,636.23315046431856
113,635.1083438550146
114,633.923040447635
115,632.70508938165494
116,631.46553216139944
117,630.2466725682857
118,629.0022481992587
119,627.77558239320012
120,626.58225792541464
121,625.33558503048062
122,624.21882857269736
123,623.06863153553581
124,621.9181888110345
125,620.82680409509658
126,619.81850204779721
127,618.87404202632342
128,617.94187410470045
129,617.03375314871346
130,616.15510305890461
131,615.3012124418583
132,614.41985267054213
133,613.54022473525515
134,612.66511367920634
135,611.77442746289546
136,610.83216215706727
137,609.83654129584613
138,608.77812192947124
139,607.66904879275296
140,606.491943530664
141,605.27927135765071
142,604.01528904045369
143,602.75084297683327
144,601.37696396975036
145,600.06436977224155
146,598.72813019334239
147,597.36627672157545
148,596.08671769729506
149,594.7848933182679
150,593.67170914984979
151,592.62043879475368
152,591.76218934432359
153,591.03431528209012
154,590.48037950671801
155,590.10617281015175
156,589.96977048187205
157,590.05601557168711
158,590.40961984412706
159,591.01280898731159
160,591.81927209782611
161,592.8203002641086
162,593.9995997354747
163,595.37415130499346
164,596.86793836372783
165,598.47539669181958
166,600.21350293317607
167,602.00456905711724
168,603.87045212623525
169,605.76843330198346
170,607.6210320659751
171,609.44209104836261
172,611.20252781328475
173,612.96482276443919
174,614.54665476849982
175,616.105406755285
176,617.57960565521216
177,618.98951672822727
178,620.26205938106932
179,621.46256388878965
180,622.61031482561589
181,623.72165665792363
182,624.82015897664257
183,625.86300768590945
184,626.89708908841783
185,627.93229687755047
186,628.96562249758756
187,629.97818033383248
188,630.98650409347056
189,632.00316535536876
190,633.00908056358594
191,634.04378862901535
192,635.03977067292351
193,636.04248222110812
194,637.02141406187366
195,638.00819180209862
196,638.97848365771029
197,639.96998757920039
198,640.97096669833388
199,641.96898803902388
200,642.93100844169794
201,643.93575449391972
202,644.88852876322551
203,645.86574585481264
204,646.9028786596931
205,647.93693360081386
206,648.98291928481206
207,650.02901597897142
208,651.10273925870115
209,652.13432545805131
210,653.18290129829109
211,654.22825189944501
212,655.30579195759367
213,656.36556303428222
214,657.42525403339914
215,658.47751698357922
216,659.54078836890835
217,660.53882908615901
218,661.51463981545885
219,662.49048254497882
220,663.42033109036356
221,664.28959762929946
222,665.06813849089531
223,665.79351267865525
224,666.40874518273768
225,666.90677036566683
226,667.22218213671681
227,667.46477951812631
228,667.58925530662339
229,667.63862856817093
230,667.55944169786221
231,667.39228031724883
232,667.17682212417367
233,666.94580860095698
234,666.79382609551374
235,666.58536397469436
236,666.47103795568751
237,666.40401438048059
238,666.41052039315139
239,666.49250581630645
240,666.65928500084635
241,666.94357494647124
242,667.3321464287244
243,667.80904821107526
244,668.57620606391959
245,669.11405436311532
246,669.69724971618052
247,670.48889072405825
248,670.96145761662694
249,671.68200458575473
250,672.10403235107651
251,672.748848780245
252,673.11441928919805
253,673.67696040994019
254,674.01230946269186
255,674.53709508573866
256,674.82415973099819
257,675.24326615526411
258,675.48170271522201
259,675.86565663151714
260,676.08338000821448
261,676.43848316643835
262,676.6596156693995
263,677.05776045707887
264,677.40898111453487
265,677.67778543165468
266,678.17389350058158
267,678.5213373748802
268,679.08941754803539
269,679.44354154659652
270,680.01296064160078
271,680.34144215715025
272,680.87268610112426
273,681.18185299899096
274,681.65542182190552
275,681.91531213294127
276,682.30488609191366
277,682.51314628045941
278,682.82921888393673
279,682.98736760814222
280,683.17296326697499
281,683.38035910317365
282,683.57425448661854
283,683.75496026789665
284,683.93079563335789
285,684.10332183987077
286,684.28712731250175
287,684.49047243737664
288,684.72152799096659
289,684.97869846096614
290,685.26590274771695
291,685.58226113938304
292,685.92027536936791
293,686.26664205124041
294,686.64040397463873
295,687.14031081526957
296,687.39973996662081
297,687.78216001879014
298,687.99857866310185
299,688.32938003822983
300,688.51985952977384
301,688.79761599304697
302,688.94519776599395
303,689.1799591504024
304,689.31482539715114
305,689.47071245442305
306,689.64192954033456
307,689.80993138393171
308,689.97713042566227
309,690.20474265313135
310,690.32347625117086
311,690.48137150924276
312,690.74146243804341
313,690.90867418003972
314,691.13682166101319
315,691.48787999168826
316,691.70444485804785
317,691.96848514749786
318,692.35648082046919
319,692.56893675097626
320,692.90185280911612
321,693.08956238628707
322,693.38579173275991
323,693.55401114101585
324,693.81596226852503
325,693.95542587073544
326,694.17996239009744
327,694.3022846662692
328,694.45095010294961
329,694.61497170650557
330,694.78275523515799
331,694.95098032167448
332,695.16687744134117
333,695.27439436471786
334,695.40982034816898
335,695.62528149078298
336,695.75965326077653
337,695.93325169369325
338,696.13341995005874
339,696.34765721738097
340,696.56837200040229
341,696.79091192050578
342,697.07410348426788
343,697.21770156817024
344,697.44328981350509
345,697.57663908988161
346,697.79286980168774
347,697.92035309103153
348,698.12607342424474
349,698.24933637637878
350,698.44077957331513
351,698.54920595786598
352,698.68404685604787
353,698.84324443760306
354,699.00646592950784
355,699.17199015098618
356,699.33629684196603
357,699.56028463147982
358,699.67991001795087
359,699.87845085911749
360,700.00567919250818
361,700.22855850321389
362,700.37316814525718
363,700.62120183390073
364,700.77326621002328
365,701.02021497716737
366,701.16939078296264
367,701.40553978116441
368,701.5487443081629
369,701.77540429578414
370,701.90506942263244
371,702.05422448043237
372,702.27799139963122
373,702.39607675357638
374,702.53477467373409
375,702.6884455619545
376,702.84807417721504
377,703.0082394695437
378,703.16152726294911
379,703.304588659503
380,703.44049114250527
381,703.5731649469509
382,703.70420412157762
383,703.83506381073198
384,703.9692656429479
385,704.10419388412879
386,704.23594151842019
387,704.37038107729802
388,704.50690368717801
389,704.69425788104456
390,704.79039719916102
391,704.94332383800827
392,705.03723850339634
393,705.19863057378677
394,705.29768195104168
395,705.46455728875219
396,705.56640214386857
397,705.73626852798191
398,705.83962312523101
399,705.96578063476829
400,706.10844609578726
401,706.25797460535989
402,706.40831022795021
403,706.5536271329488
404,706.69185076186659
405,706.82570929524184
406,706.95684743867878
407,707.08618408058737
408,707.21386322314834
409,707.38912383652371
410,707.47749976728142
411,707.62297961252273
412,707.71044862967278
413,707.86134439231205
414,707.95315746737583
415,708.10999484300601
416,708.2029158371148
417,708.36379472038266
418,708.45650159413742
419,708.61297913305521
420,708.70467860955603
421,708.85993881876107
422,708.95117722226587
423,709.06540694275236
424,709.1929012302204
425,709.32453018387696
426,709.45055774284151
427,709.56991917056371
428,709.68317729462638
429,709.79230500183496
430,709.89897726901881
431,710.00469202478894
432,710.14586312211213
433,710.21660442440941
434,710.33610433301817
435,710.40852619816678
436,710.53605898830392
437,710.61318799713342
438,710.74664876028714
439,710.82559853469138
440,710.9615395532287
441,711.04139732069063
442,711.17771985242064
443,711.25821856515881
444,711.39553240897772
445,711.4759021981547
446,711.57537525779071
447,711.68854091444916
448,711.80278310123117
449,711.91174436674885
450,712.01374949604303
451,712.14340481293971
452,712.20640792105542
453,712.31347840182764
454,712.37715101256742
455,712.48889236397645
456,712.57820878711595
457,712.66430923599137
458,712.75217570605901
459,712.84224863861516
460,712.93434453240388
461,713.02694506334387
462,713.11983736451998
463,713.2131881529881
464,713.30727983159034
465,713.40183597549731
466,713.49626598968905
467,713.59019728092164
468,713.68299816317938
469,713.7522254641284
470,713.88996947577471
471,713.94061051607332
472,714.05858153113013
473,714.10730324982444
474,714.22253135531378
475,714.27016880118924
476,714.3827704459793
477,714.43004403939312
478,714.54107837272841
479,714.58831925967183
480,714.69700918266903
481,714.76016853230499
482,714.84615370977849
483,714.9102708217456
484,715.000215040733
485,715.06716372067694
486,715.15967801939382
487,715.22667541097098
488,715.3187774999185
489,715.38467282532406
490,715.47495852584325
491,715.52381725124155
492,715.63378514306862
493,715.68009945272422
494,715.78277299148874
495,715.82616232764519
496,715.92379003958547
497,715.96601806448984
498,716.0609794394519
499,716.12429499662301
500,716.18591843458546
501,716.2502153534067
502,716.31667751519626
503,716.38425299133814
504,716.4523236827456
505,716.52065556156595
506,716.5891162103236
507,716.65782431658272
508,716.72667542654506
509,716.7954894281396
510,716.86402300683051
511,716.93209256749742
512,716.99953196438912
513,717.06620140674409
514,717.13192977125857
515,717.19670958165716
516,717.2605161139802
517,717.32342308153443
518,717.38550641102893
519,717.44686370862291
520,717.50778643197975
521,717.56789395810597
522,717.62753499322855
523,717.68694520628242
524,717.74625039814669
525,717.8054681971621
526,717.86478720077901
527,717.92402189482482
