0 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
1.000	2.505	1.390
2.000	2.505	-1.056
3.000	2.510	-0.967
4.000	2.509	-0.878
5.000	2.507	-0.822
6.000	2.506	-0.771
7.000	2.512	-0.713
8.000	2.511	-0.638
9.000	2.509	-0.573
10.000	2.508	-0.510
11.000	2.508	-0.451
12.000	2.504	-0.401
13.000	2.510	-0.319
14.000	2.510	-0.203
15.000	2.509	-0.126
16.000	2.502	-0.065
17.000	2.511	0.007
18.000	2.508	0.099
4 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
1.000	2.546	1.155
2.000	2.543	-1.802
3.000	2.543	-1.508
4.000	2.546	-1.302
5.000	2.544	-1.144
6.000	2.542	-1.049
7.000	2.547	-0.925
8.000	2.543	-0.771
9.000	2.544	-0.674
10.000	2.542	-0.582
11.000	2.546	-0.507
12.000	2.546	-0.437
13.000	2.548	-0.365
14.000	2.546	-0.290
15.000	2.542	-0.220
16.000	2.543	-0.148
17.000	2.539	-0.064
18.000	2.545	0.035
6 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
1.000	2.556	0.937
2.000	2.559	-2.120
3.000	2.561	-1.851
4.000	2.557	-1.337
5.000	2.558	-1.121
6.000	2.556	-1.062
7.000	2.563	-0.963
8.000	2.558	-0.848
9.000	2.555	-0.746
10.000	2.560	-0.643
11.000	2.557	-0.549
12.000	2.560	-0.468
13.000	2.557	-0.387
14.000	2.558	-0.303
15.000	2.562	-0.226
16.000	2.558	-0.147
17.000	2.554	-0.056
18.000	2.558	0.044
8 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
1.000	2.568	0.681
2.000	2.570	-2.467
3.000	2.565	-2.274
4.000	2.572	-1.365
5.000	2.571	-1.267
6.000	2.565	-1.153
7.000	2.570	-1.027
8.000	2.570	-0.897
9.000	2.568	-0.781
10.000	2.567	-0.666
11.000	2.564	-0.565
12.000	2.568	-0.478
13.000	2.564	-0.388
14.000	2.565	-0.299
15.000	2.571	-0.214
16.000	2.566	-0.128
17.000	2.573	-0.036
18.000	2.567	0.066
10 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
1.000	2.562	0.866
2.000	2.562	-0.867
3.000	2.560	-0.967
4.000	2.553	-0.993
5.000	2.563	-0.998
6.000	2.567	-1.066
7.000	2.559	-1.024
8.000	2.563	-1.004
9.000	2.561	-0.991
10.000	2.560	-0.956
11.000	2.566	-1.022
12.000	2.557	-0.961
13.000	2.557	-0.982
14.000	2.565	-0.928
15.000	2.558	-0.923
