,Mean RMS
0,-13.412492198621115
1,-26.625385838573298
2,-31.936923235788473
3,-25.326509620920127
4,-26.903495732417223
5,-30.11677569362217
6,-25.721921649334714
7,-23.551404427348835
8,-47.09763450430474
9,-29.9977630171392
10,-34.59042296469429
11,-10.409558085048069
12,-21.130801087366983
13,-13.372902341235147
14,0.6174273800339395
15,-7.348734927738287
16,-30.982563608557154
17,-27.76226260428928
18,-26.857463993882153
19,-26.580000918984897
20,-9.191090102722152
21,-14.059027330886293
22,-13.327118159403568
23,-4.732137498227594
24,-9.8442644856162
25,-40.35727344080357
26,-11.307386221826192
27,-9.271822290228375
28,-10.04475980697743
29,-8.712623147799766
30,-18.27116112664392
31,-21.45738701585042
32,-51.881545696209656
33,-37.22432784117197
34,-21.35425005782082
35,-1.7602184805261019
36,-8.872912516962364
37,-20.57788418944459
38,-27.768883082046052
39,-0.834495457136971
40,-11.230770473965759
41,-9.42207375588856
42,-13.710294653123634
43,-9.867798335506171
44,-28.111161584397095
45,-5.4161070561517874
46,-14.058082633098712
47,-11.345721475699438
48,-6.625662173204519
49,-19.96733511890049
50,-29.661872651707625
51,-10.630679615312829
52,-12.523276102281057
53,-3.796011743126749
54,-7.693317909665267
55,-34.74143226868681
56,-22.614374900151198
57,-37.645585172197094
58,-3.9239326603113334
59,3.9835668885516577
60,-6.811912096790401
61,1.2506492342390203
62,-31.214363991072187
63,-5.3617063246284875
64,-17.1428354573621
65,0.42802763186923026
66,-1.6654484791415922
67,-28.348490662869935
68,-10.245268475346156
69,-18.044154307287666
70,-16.90023683215853
71,0.3217727535571466
72,-8.020103613289098
73,-14.784500271834032
74,-13.678721042752608
75,-6.534074142998721
76,-20.006219814841085
77,-5.8860590127730905
78,-10.561777464144397
79,1.5948106966615179
80,-16.87615804387955
81,-12.026910577142155
82,-24.920627354307065
83,-14.016340356338961
84,-2.927562587831386
85,-14.404012857329965
86,-11.454661430237667
87,-35.90194419065244
88,-6.784189554417162
89,-9.744590798739805
90,-1.2257323688807826
91,-16.39126992415335
92,0.7264884112166694
93,-9.356856076334342
94,-39.32506118801397
95,-7.5423652763593
96,1.6262377484854218
97,-9.546746359971522
98,2.8074875820545486
99,-19.064301782637667
100,-6.905193233226121
101,-5.425680401961294
102,3.385474263892271
103,-5.432777624273722
104,-6.078173000858236
105,-5.889669868091073
106,-2.898838618101198
107,-1.1960201255021627
108,5.6468338435980305
109,0.9453622767006992
110,-7.449150595780937
111,-7.865646094220995
112,-13.683999975296425
113,-30.34080308123388
114,-19.979136063908015
115,-2.530948882199407
116,-5.8401903183237645
117,-4.875093376593343
118,-6.616394699596494
119,-24.135552690513695
120,-7.073599069160071
