,Mean RMS
0,-3.6079899569565304
1,-15.761806136463717
2,-25.710849616153844
3,-9.396450761286504
4,-10.906172753107274
5,-19.027499934870587
6,-32.341939690581725
7,-25.148026073112415
8,-22.089223995182337
9,-14.926552658383713
10,-9.645645752378917
11,-29.802209933763596
12,-5.011289694554008
13,-20.70137734590585
14,-20.499770954840116
15,-13.79507470682124
16,-14.537790367237543
17,-10.831922993075741
18,-17.420519162540458
19,-37.0571628018037
20,-17.219927752750063
21,-6.169254521038299
22,-12.35407891515158
23,-13.493657014621581
24,-16.030217061320936
25,-39.885426638586694
26,-52.06693625189173
27,-66.2311246160135
28,-42.314941793482404
29,-25.911113988873083
30,-32.90068619623073
31,-46.120940186061816
32,-35.29888765280772
33,-27.417443117459236
34,-37.16452573652613
35,-39.756325795462104
36,-10.205374220870214
37,-46.27359895928677
38,-8.342112816886884
39,-31.991496179494735
40,-42.383712007098204
41,-30.71045673934435
42,-50.21711605736226
43,-15.140504426554495
44,-27.417347201489726
45,-14.066292176151126
46,-18.246325926382458
47,-16.901312846353985
48,-22.59901667887171
49,-20.475923259450123
50,-28.716066330301206
51,-28.800072635086007
52,-29.535356105773808
53,-33.06256564821895
54,-15.346626820456953
55,-29.591122944184036
56,-15.916431759057243
57,-25.49025155046792
58,-16.661859835217463
59,-7.579443790639861
60,-19.283383122876543
61,-32.09001023879018
62,-23.583037946942614
63,-9.027169773212046
64,-37.95582693200033
65,-21.692899422517645
66,-8.79529018236523
67,-21.748688587889514
68,-25.503922014825527
69,-22.372461368782147
70,-19.49940539152538
71,-20.59235239345494
72,-20.87844960197854
73,-4.316199660921167
74,-2.7045239651925153
75,-18.500895566649593
76,-17.338079780375576
77,-14.566365729661547
78,-12.304630992211905
79,-4.256930928279189
80,-15.87757970003319
81,-14.265515718395843
82,-16.638662123591015
83,-9.49913853943709
84,-23.0991743925684
85,-12.408506170058892
86,-18.644190604920325
87,-22.099063693947652
88,-13.383901004198327
89,-29.86206617085963
90,-14.123652194759954
91,-16.242219720386846
92,-4.525845556091493
93,-10.46527890610098
94,-26.78770355180786
95,-28.32480439571303
96,-20.376088337929637
97,-11.524552658007343
98,-10.542071792769226
99,-24.01422539397747
100,-0.3512581082587309
101,-11.696964843194506
102,-25.609340039971837
103,-29.225611842806813
104,-19.81576652177589
105,-38.76562050242405
106,-23.18385637046071
107,-15.615126298741782
108,-32.04889002719118
109,-25.023371841817497
110,-17.20647631681714
111,-23.734025748835016
112,-47.024556730154096
113,-39.57179622978094
114,-30.65552248688894
115,-21.86474480172901
116,-28.70587330056296
117,-38.516794660571044
118,-20.943767731511038
119,-30.50535223776947
120,-11.789024053310758
121,-27.377964445252804
122,-22.855379356808964
123,-16.91721319060166
124,-15.030209114366707
125,-12.01802829811768
126,-10.266609432488941
127,-14.828206577025494
128,-16.02122507652209
129,-25.613011198555405
130,-24.756435780293312
131,-13.325898288063632
132,-6.04088890910263
133,-18.893888014295
134,-1.7964716110970091
135,-5.277998830437536
136,-9.810617510874875
137,-23.233410360505605
138,-32.07998323837645
139,-27.91937413674739
140,-29.78585266916731
141,-27.550192121415716
142,-16.338204282370935
143,-20.967734222573302
144,-14.678596144765406
