,Mean RMS
0,-0.43674046358101626
1,0.6438139111457738
2,0.05018716114668573
3,3.2822989478448217
4,3.366915489645112
5,6.11433898608975
6,-2.0441666433651617
7,-2.7847640996865906
8,-0.215221638048526
9,-3.9421800442881363
10,-5.06627134018845
11,-3.179051454513036
12,-2.0161765421573032
13,-2.1130043205805893
14,-4.968589144438358
15,-2.143921450037646
16,-0.36675561526448547
17,-1.74629606547472
18,0.5230413824130641
19,-8.150028208494788
20,0.06973176663971115
21,-0.0941693087047365
22,2.1465600192871825
23,-2.6572693423735
24,-8.030310167734807
25,-7.852537083503458
26,-0.9815131537866757
27,-0.6845170278202792
28,-0.7127056977615629
29,-1.6001612728352927
30,-1.702278181007431
31,-5.390156280602827
32,-6.0278140495261034
33,-4.941670971694075
34,-5.328639081093076
35,-2.54926537692622
36,-4.424771207744658
37,-3.0770522379291356
38,-3.415800012064262
39,-6.576889497906871
40,-6.625697464981895
41,-5.743678320325234
42,-9.200950490261832
43,-5.543129263428759
44,-6.471581656339081
45,-2.336969564378472
46,-1.0278250780583986
47,-2.1049482555639916
48,-5.355309422667523
49,-2.522727140005534
50,-5.405414145328174
51,-4.523318311833804
52,-0.4055420016666251
53,-4.6217146365449615
54,-4.733496975633207
55,-3.210454849209908
56,-3.3660172194142195
57,-2.8398927913091376
58,-4.609565634794272
59,-3.7391613838688964
60,-4.161559299568094
61,-5.160345416648977
62,-11.777513610180623
63,-6.734079341517537
64,-8.561758156821874
65,-5.395396335368825
66,-4.867239127776664
67,-2.139651025618687
68,-1.3782894698152355
69,-7.7138026410268585
70,-0.36372039584834287
71,-0.5919963385928343
72,-5.941699165517338
73,-6.848036325231998
74,-4.448633206488219
75,-7.277779699008981
76,-6.2384025064533954
77,-0.8896405588169506
78,-10.766797146244521
79,-7.767449293667386
80,-6.580274930716667
81,-5.233187112205785
82,-4.769499767340159
83,-2.878877385029595
84,-1.38439924148862
85,-1.954318667406566
86,-2.1449863497149133
87,-4.1286760865016605
88,-8.413174459811973
89,-1.0381086784184497
90,1.6959661029002613
91,-1.606589081664237
92,1.4747669454423002
93,0.4398783520483009
94,0.8005558676581298
95,0.77396790481137
96,3.3809235131344435
97,1.0871930142090456
98,5.195510478654229
99,0.6350126136588603
100,5.321970214689279
101,2.1185768016306543
102,1.2480166796308947
103,3.125483208014552
104,1.570687951755496
105,-0.48739230402496403
106,-0.1937126513871734
107,4.371533948025626
108,-4.5869252826100775
109,-1.2520458758679416
110,1.280140225798366
111,3.94267430281711
112,-7.8709649159180834
113,-0.6921207300285649
114,2.2585316699123714
115,-2.319548870666886
116,-0.9471353303717599
117,-4.521894174119924
118,-7.089986365217529
119,-0.045900690565625894
120,7.1224619270140215
121,7.098454566799457
122,6.13664546718872
123,3.562124543248213
124,0.00040190150490322077
125,-0.30281912299392005
126,11.282101740299954
127,1.7274744741043933
128,9.458216122215104
129,-1.8389674263448148
130,-5.523520360466646
131,-2.3946019924250335
132,2.713005462880328
133,-0.48245157898954055
134,-6.103576968391844
135,2.762410825568795
136,3.6017178884393233
137,0.381513039634953
138,0.25100391291673957
139,-0.34901115086109963
140,-4.087917283388413
141,-7.446002985631999
142,5.673886474108154
143,4.0402140966503355
144,4.249755973069459
145,2.7419758300953934
146,5.189440195773952
147,-4.50639423539857
148,2.4369538907663166
149,0.05799657510744399
150,-5.184866724067974
151,-0.3253419966095383
152,-0.27694017563010453
153,-1.490284900313956
154,-1.9456289276889922
155,1.7192461666114487
156,-5.863831254501098
157,-5.280319610650943
158,-1.2921881982889794
159,0.31665094641966296
160,-6.850428148535701
161,-8.335122211280362
162,-18.58125879869995
163,-7.278091206304901
164,-7.026817396893895
165,-2.7480182496022474
166,-5.365711920233606
167,-1.3689402176686707
168,-5.486082700639007
169,-2.1165755697123676
170,-11.45462903763867
171,-14.238803159331017
172,-21.41188653515936
173,-12.249947929945643
174,-12.016069166469117
175,-10.936028069585754
176,-13.897028790194492
177,-12.195812519465601
178,-14.034931204773367
179,-14.332016009115607
180,-21.088485420754687
181,-20.49003778355985
182,-17.588237018557766
183,-17.220262119761163
184,-26.64402157524796
185,-18.78955097836201
186,-21.635727705627176
187,-26.67380285425583
188,-20.015046796744656
189,-22.131895212474266
190,-20.980692054148392
191,-20.387250275535692
192,-19.970037716812328
193,-17.250277306729256
194,-12.628528096612657
195,-14.29188558009316
196,-11.35466229521319
197,-11.338001922254833
198,-13.16725180398036
199,-22.18158973790574
200,-14.52909956772818
201,-10.361379881108482
202,-18.67570212303678
203,-10.61560390220389
204,-5.670348650218449
205,-7.644291391648937
206,-13.166563712788655
207,2.357212319810229
208,-6.550569540117198
209,-10.316870675196203
210,-0.11561815212592988
211,-1.9590382902561654
212,-2.036560559036405
213,1.903944987789906
214,2.8568815198208157
215,1.5666719137182652
216,-7.1712955075107505
