
Case ID, Side Force, Pitching Moment, Normal Force, Yawing Moment , Rolling Moment, Axial Force, Dynamic Pressure, Static Pressure, Air Speed
1.000000,-0.021331,0.019806,0.040796,-0.003350,0.014959,0.023546,0.019913,-0.010570,50.399783
1.000000,-0.020697,0.026381,0.041336,0.002697,0.010932,0.022666,0.019912,-0.010568,50.398876
1.000000,-0.019468,0.012049,0.030840,-0.000786,0.002940,0.022210,0.019939,-0.010563,50.432400
1.000000,-0.016000,0.026837,0.035059,0.004602,0.012633,0.021599,0.019954,-0.010560,50.451445
1.000000,-0.020526,0.024064,0.026822,-0.007584,0.017286,0.024277,0.019956,-0.010560,50.453864
1.000000,-0.014146,0.046665,0.033897,0.012059,-0.000673,0.025087,0.019899,-0.010567,50.382225
1.000000,-0.018593,0.025994,0.029012,-0.001791,0.008072,0.025724,0.019951,-0.010560,50.447964
1.000000,-0.014355,0.044212,0.034207,0.003454,0.011712,0.024155,0.019962,-0.010550,50.461687
1.000000,-0.016379,0.028001,0.023018,-0.003490,0.012526,0.024966,0.019976,-0.010544,50.478624
1.000000,-0.016194,0.027443,0.037163,0.004922,0.008017,0.023447,0.019958,-0.010545,50.456021
1.000000,-0.019073,0.025487,0.030711,-0.009616,0.014579,0.023966,0.019951,-0.010548,50.447767
1.000000,-0.011678,0.038110,0.030465,0.006822,0.001635,0.026794,0.019960,-0.010549,50.458797
1.000000,-0.017563,0.027041,0.028298,-0.001031,0.004662,0.028759,0.019982,-0.010550,50.487216
1.000000,-0.014149,0.022606,0.036992,0.006921,0.007422,0.023216,0.020007,-0.010554,50.517795
1.000000,-0.014976,0.031868,0.025479,-0.002546,-0.000290,0.022999,0.020026,-0.010559,50.541879
1.000000,-0.015822,0.016015,0.034914,0.000272,0.011574,0.021016,0.020051,-0.010554,50.573603
1.000000,-0.014642,0.012195,0.025378,0.001511,0.015866,0.024558,0.020072,-0.010560,50.600271
1.000000,-0.014952,0.034178,0.028149,0.004846,0.011618,0.024827,0.020044,-0.010556,50.564811
1.000000,-0.014858,0.023125,0.034222,-0.000949,0.012762,0.025011,0.020070,-0.010559,50.598271
1.000000,-0.016241,0.021767,0.028729,0.001546,0.010927,0.023882,0.020056,-0.010560,50.580184
1.000000,-0.014777,0.037872,0.029520,0.004337,0.008252,0.025305,0.020063,-0.010568,50.589660
2.000000,-0.037343,0.102548,0.072228,-0.026700,-0.017080,0.082517,0.081026,-0.010768,101.664949
2.000000,-0.035908,0.105475,0.063750,-0.021899,-0.019094,0.081400,0.081031,-0.010756,101.668250
2.000000,-0.037959,0.081648,0.064881,-0.028158,-0.015457,0.081715,0.081025,-0.010763,101.664081
2.000000,-0.036303,0.109086,0.073375,-0.011633,-0.027589,0.076489,0.081038,-0.010769,101.672316
2.000000,-0.037587,0.079935,0.059520,-0.034660,-0.014347,0.078292,0.081054,-0.010773,101.682517
2.000000,-0.036278,0.134524,0.071699,-0.005338,-0.017226,0.076806,0.081103,-0.010767,101.713098
2.000000,-0.040743,0.076664,0.059675,-0.043630,-0.006766,0.079032,0.081063,-0.010772,101.688351
2.000000,-0.036495,0.128952,0.073756,0.002255,-0.020072,0.078788,0.081042,-0.010770,101.675086
2.000000,-0.043397,0.086330,0.060416,-0.031892,-0.021740,0.078823,0.081047,-0.010749,101.678254
2.000000,-0.036727,0.108828,0.065096,-0.016744,-0.018634,0.081955,0.081031,-0.010767,101.668124
2.000000,-0.044688,0.087733,0.056486,-0.041257,-0.020354,0.081699,0.081012,-0.010784,101.656240
2.000000,-0.036423,0.120642,0.071115,-0.007167,-0.018678,0.075119,0.080978,-0.010787,101.634626
2.000000,-0.043928,0.069365,0.062063,-0.043220,-0.011334,0.076119,0.081024,-0.010764,101.663668
2.000000,-0.036866,0.093187,0.071933,-0.013909,-0.018412,0.074081,0.081061,-0.010751,101.686717
2.000000,-0.043853,0.090589,0.061912,-0.031175,-0.022111,0.079884,0.081014,-0.010787,101.657606
2.000000,-0.042995,0.094453,0.056555,-0.028437,-0.020330,0.084957,0.080964,-0.010794,101.625940
2.000000,-0.036504,0.100595,0.064492,-0.021131,-0.016328,0.077883,0.081004,-0.010775,101.650890
2.000000,-0.040923,0.079732,0.064190,-0.038089,-0.020354,0.076200,0.081029,-0.010757,101.666745
2.000000,-0.037830,0.108780,0.063877,-0.016554,-0.013485,0.079232,0.081029,-0.010770,101.666808
2.000000,-0.038968,0.081433,0.067661,-0.036499,-0.019099,0.079016,0.081051,-0.010782,101.680637
2.000000,-0.035060,0.107420,0.067741,-0.018563,-0.013283,0.080710,0.081032,-0.010797,101.668861
3.000000,-0.084657,0.242559,0.109595,-0.069556,0.006525,0.166850,0.179298,-0.010674,151.232718
3.000000,-0.079442,0.247812,0.117761,-0.059961,0.061240,0.158739,0.179427,-0.010792,151.287174
3.000000,-0.067685,0.247973,0.113637,-0.032365,0.025845,0.174018,0.179393,-0.010842,151.272945
3.000000,-0.085678,0.230194,0.118294,-0.068530,0.042930,0.176310,0.179192,-0.010947,151.188378
3.000000,-0.077060,0.231187,0.103328,-0.065307,0.019999,0.169612,0.179272,-0.010812,151.222058
3.000000,-0.067860,0.231741,0.112500,-0.061391,0.044065,0.161102,0.179363,-0.010740,151.260429
3.000000,-0.072555,0.245314,0.115557,-0.051990,0.031655,0.165968,0.179428,-0.010839,151.287876
3.000000,-0.070319,0.233877,0.119083,-0.047167,0.035613,0.166028,0.179310,-0.010925,151.237868
3.000000,-0.081480,0.209959,0.115842,-0.072132,0.044417,0.170953,0.179290,-0.010887,151.229424
3.000000,-0.077380,0.209910,0.112577,-0.073237,0.033654,0.164340,0.179168,-0.010908,151.178080
3.000000,-0.071053,0.242482,0.113491,-0.053007,0.007412,0.163878,0.179132,-0.010818,151.162721
3.000000,-0.084222,0.246104,0.115723,-0.052254,0.034763,0.169193,0.179228,-0.010801,151.203218
3.000000,-0.066347,0.215321,0.107728,-0.068614,0.026761,0.168406,0.179278,-0.010804,151.224359
3.000000,-0.075152,0.201847,0.116051,-0.072929,0.048138,0.166451,0.179175,-0.010896,151.180917
3.000000,-0.076636,0.216029,0.110742,-0.054989,0.018854,0.161796,0.179163,-0.010917,151.175880
3.000000,-0.085709,0.226812,0.119012,-0.063900,0.008804,0.173944,0.179176,-0.010924,151.181607
3.000000,-0.070021,0.225938,0.116596,-0.050432,0.027927,0.170160,0.179100,-0.010929,151.149295
3.000000,-0.073277,0.230281,0.120957,-0.049286,0.032125,0.162263,0.179148,-0.010941,151.169798
3.000000,-0.075212,0.203152,0.120909,-0.073664,0.028671,0.164079,0.179061,-0.011039,151.132857
3.000000,-0.062445,0.217927,0.113468,-0.054341,0.073876,0.171016,0.178965,-0.011017,151.092604
3.000000,-0.074070,0.196821,0.123540,-0.078237,0.068690,0.163584,0.179043,-0.010951,151.125260
4.000000,-0.180209,0.373237,0.217735,-0.117944,0.253967,0.281447,0.314833,-0.008306,200.400468
